state,county,location_type,location_name,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,hours
Virginia,NEW KENT COUNTY,Elections Office,NEW KENT COUNTY GENERAL REGISTRAR,7911 COURTHOUSE WAY ,400,NEW KENT,VA,23124,804-966-9699,https://www.co.new-kent.va.us,kmbartlett@newkent-va.us,804-966-8536,Monday:01:08-16:30;Tuesday:01:08-16:30;Wednesday:01:08-16:30;Thursday:01:08-16:30;Friday:01:08-16:30
Virginia,NEWPORT NEWS CITY,Elections Office,Voter Registration,2400 Washington Ave,,Newport News,VA,23607,757-926-8683,,lewisvv@nnva.gov,757-926-3653,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,NORFOLK CITY,Elections Office,Norfolk Office of Elections,810 Union St ,Rm 808,Norfolk,VA,23510,757-664-4353,http://www.norfolk.gov/elections,vote@norfolk.gov,757-664-4685,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,NORTHAMPTON COUNTY,Elections Office,Northampton County Voter Registration,16404 COURTHOUSE RD,,Eastville,VA,23347,757-678-0480,,vote@co.northampton.va.us,757-678-0453,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,NORTHUMBERLAND COUNTY,Elections Office,General Registrar's Office,45 Back ST,,Heathsville,VA,22473,804-580-4655,,kdavenport@co.northumberland.va.us,888-690-1934,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,NORTON CITY,Elections Office,NORTON CITY REGISTRARS OFFICE,201 Park Ave NE,,Norton,VA,24273,276-679-1162,,govote720@yahoo.com,276-679-0754,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,NOTTOWAY COUNTY,Elections Office,Nottoway County General Registrar's Office,507 Miller St,,Burkeville,VA,23922,434-767-2135,,govote135@gmail.com,434-767-2414,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,ORANGE COUNTY,Elections Office,Orange County,146 N Madison Rd ,Ste 204,Orange,VA,22960,540-672-5262,http://orangecountyva.gov/index.aspx?nid=354,vote@orangecountyva.gov,540-672-4872,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,PAGE COUNTY,Elections Office,Voter Registration & Elections,103 S Court St ,Ste D,Luray,VA,22835,540-743-3986,,cgaunt@pagecounty.virginia.gov,540-743-1988,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,PATRICK COUNTY,Elections Office,Patrick County General Registar's Office,106 Rucker St ,Rm 216,Stuart,VA,24171,276-694-7206,http://www.co.patrick.va.us/registrar,staylor@co.patrick.va.us,276-694-5488,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,PETERSBURG CITY,Elections Office,Voter Registrations & Elections,229 N Market St,,Petersburg,VA,23803,804-733-8071,,PetersburgElections@comcast.net,804-733-8080,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,PITTSYLVANIA COUNTY,Elections Office,Pittsylvania County Voter Registration,110 Old Chatham Elementary Ln,,Chatham,VA,24531,434-432-7971,,kelly.keesee@pittgov.org,434-432-7973,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,POQUOSON CITY,Elections Office,Poquoson City General Registrar's Office,500 City Hall Ave,,Poquoson,VA,23662,757-868-3070,http://ci.poquoson.va.us,Tammi.Pinckney@poquoson-va.gov,757-868-3104,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,PORTSMOUTH CITY,Elections Office,Office of the General Registrar,801 Crawford St ,Fl 1,Portsmouth,VA,23704,757-393-8644,http://www.portsmouthva.gov/registrar,registrar@portsmouthva.gov,757-393-5415,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,POWHATAN COUNTY,Elections Office,Powhatan's Office of Elections & Voter Registration,3910 Old Buckingham Rd ,Ste E,Powhatan,VA,23139,804-598-5604,http://www.powhatanva.gov/310/Voter-Registrar,kalexander@powhatanva.gov,804-598-5607,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,PRINCE EDWARD COUNTY,Elections Office,Prince Edward County General Registrar's Office,Prince Edward County Courthouse,,Farmville,VA,23901,434-392-4767,http://www.co.prince-edward.va.us,registrar@co.prince-edward.va.us,434-392-3889,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,PRINCE GEORGE COUNTY,Elections Office,Voter Registration,6602 Courts Dr ,Ste 243,Prince George,VA,23875,804-722-8748,,aricheson@princegeorgecountyva.gov,804-733-2793,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,PRINCE WILLIAM COUNTY,Elections Office,Prince William County Office of Elections,9250 Lee Ave ,Ste 1,Manassas,VA,20110,703-792-6470,http://www.pwcvotes.com,pwcvote@pwcgov.org,703-792-6461,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,PULASKI COUNTY,Elections Office,Office of Elections,87 Commerce St,,Pulaski,VA,24301,540-980-2111,,kwebb@pulaskicounty.org,540-994-5883,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,RADFORD CITY,Elections Office,Office of Elections,619 2nd St ,Rm 143,Radford,VA,24141,540-731-3639,http://www.radfordva.gov/252/Director-of-Elections,tracy.howard@radfordva.gov,540-633-0152,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,RAPPAHANNOCK COUNTY,Elections Office,Registrar of Voters,262A Gay St,,Washington,VA,22747,540-675-5380,http://www.rappahannockcountyva.gov/voter.html,vote@rappahannockcountyva.gov,540-675-5381,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,RICHMOND CITY,Elections Office,Office of the General Registrar,900 E Broad St ,Rm 105,Richmond,VA,23219,804-646-5950,http://www.richmondgov.com/Registrar/index.aspx,VoterRegistration@richmondgov.com,804-646-7848,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,RICHMOND COUNTY,Elections Office,Richmond County General Registrar's Office,101 Court Cir,,Warsaw,VA,22572,804-333-4772,http://www.co.richmond.va.us/departments/voter-registration-office,govote159@co.richmond.va.us,804-333-4641,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,ROANOKE CITY,Elections Office,Roanoke City Voter Registration and Elections,317 Kimball Ave NE,,Roanoke,VA,24016,540-853-2281,http://www.roanokeva.gov/registrar,registrar@roanokeva.gov,540-853-1025,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,ROANOKE COUNTY,Elections Office,Roanoke County Department of Elections,900 Chestnut St,,Vinton,VA,24179,540-772-7500,http://www.roanokecountyva.gov/elections,acloeter@roanokecountyva.gov,,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,ROCKBRIDGE COUNTY,Elections Office,Rockbridge County Voter Registration,150 S Main St,,Lexington,VA,24450,540-463-7203,,shall@rockbridgecountyva.gov,540-463-1078,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,ROCKINGHAM COUNTY,Elections Office,Rockingham County,20 E Gay St,,Harrisonburg,VA,22802,540-564-3055,http://www.rockinghamcountyva.gov,lgooden@rockinghamcountyva.gov,540-564-3057,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,RUSSELL COUNTY,Elections Office,Voter Registration,96 Russell St,,Lebanon,VA,24266,276-889-8006,,govote167@bvu.net,276-889-8022,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,SALEM CITY,Elections Office,Salem City Registrar's Office,19 E Clay St,,Salem,VA,24153,540-375-3034,,doliver@salemva.gov,540-375-4052,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,SCOTT COUNTY,Elections Office,Scott County Voter Registrarion,190 Beech St ,Ste 204,Gate City,VA,24251,276-386-3843,,medwards@scottcountyva.com,276-386-3741,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,SHENANDOAH COUNTY,Elections Office,Voter Registration & Elections,600 N Main St ,Ste 103,Woodstock,VA,22664,540-459-6195,http://shenandoahcountyva.us/voting/,lmcdonald@shenandoahcountyva.us,540-459-6196,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,SMYTH COUNTY,Elections Office,Smyth County Department of Elections,121 Bagley Cir ,Ste 422,Marion,VA,24354,276-706-8331,,sandy.elswick@hotmail.com,276-783-9055,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,SOUTHAMPTON COUNTY,Elections Office,Southampton County General Registrar's Office,22305 Main St,,Courtland,VA,23837,757-653-9280,,lburgess@socogovote.com,757-653-9401,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,SPOTSYLVANIA COUNTY,Elections Office,OFFICE OF ELECTIONS,4708 Southpoint Pkwy,,Fredericksburg,VA,22407,540-507-7380,http://www.spotsylvania.va.us/vote,voter@spotsylvania.va.us,540-507-7519,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,STAFFORD COUNTY,Elections Office,Office of the General Registrar,1300 Courthouse Rd,,Stafford,VA,22554,540-658-4000,http://staffordcountyva.gov/registrar,registrar@staffordcountyva.gov,540-658-4003,Monday:08:00-16:30;Tuesday:08:00-16:30;Wednesday:08:00-16:30;Thursday:08:00-16:30;Friday:08:00-16:30
Virginia,STAUNTON CITY,Elections Office,Staunton City General Registrar's Office,116 W Beverley St ,Fl 1,Staunton,VA,24401,540-332-3840,https://www.ci.staunton.va.us/departments/registrar,vote@ci.staunton.va.us,540-332-3834,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,SUFFOLK CITY,Elections Office,Suffolk City General Registrar's Office,Human Resources Building,,Suffolk,VA,23434,757-514-7750,,ssaunders@suffolkva.us,757-514-7759,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,SURRY COUNTY,Elections Office,Voter Registration,45 School ST,,Surry,VA,23883,757-294-5213,,swhite@surrycountyva.gov,757-294-5285,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,SUSSEX COUNTY,Elections Office,Voter Registration Office,15080 Courthouse Rd,,Stony Creek,VA,23882,434-246-1047,,right2voteSUSSEX@yahoo.com,434-246-4315,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,TAZEWELL COUNTY,Elections Office,Tazewell County,2848 Riverside Dr,,North Tazewell,VA,24630,276-385-1305,http://www.votetazewellcounty.com/,govote@tazewellcounty.org,276-258-0801,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,VIRGINIA BEACH CITY,Elections Office,City of Virginia Beach,2449 Princess Anne Rd ,Bldg 14,Virginia Beach,VA,23456,757-385-8683,http://www.vbgov.com/voter,voter@vbgov.com,757-385-5632,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,WARREN COUNTY,Elections Office,General Registrar's Office,465 W 15th St ,Ste 800,Front Royal,VA,22630,540-635-4327,http://www.warrencountyva.net,vote@warrencountyva.net,540-635-5456,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,WASHINGTON COUNTY,Elections Office,Washington County Department of Elections,1 Government Center Way ,Ste A,Abingdon,VA,24210,276-676-6227,https://www.washcova.com/registrar/,vote@washcova.com,276-676-6200,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,WAYNESBORO CITY,Elections Office,Waynesboro Voter Registration,250 S Wayne Ave ,Ste 205,Waynesboro,VA,22980,540-942-6620,http://www.waynesboro.va.us/126/Voter-Registration,jefferslp@ci.waynesboro.va.us,540-942-6501,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,WESTMORELAND COUNTY,Elections Office,Westmoreland County Voter Registration Office,105 Court SQ,,Montross,VA,22520,804-493-8898,,govote193@westmoreland-county.org,804-493-0158,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,WILLIAMSBURG CITY,Elections Office,City of Williamsburg,401 Lafayette St,,Williamsburg,VA,23185,757-220-6157,http://www.williamsburgva.gov,treitzel@williamsburgva.gov,757-220-6157,Monday:08:00-16:30;Tuesday:08:00-16:30;Wednesday:08:00-16:30;Thursday:08:00-16:30;Friday:08:00-16:30
Virginia,WINCHESTER CITY,Elections Office,"Office of Elections, City of Winchester",107 N East Ln,,Winchester,VA,22601,540-545-7910,http://www.winchesterva.gov/vote,vote@winchesterva.gov,540-545-7925,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,WISE COUNTY,Elections Office,Wise County General Registrar's Office,5607 Patriot Dr,,Wise,VA,24293,276-328-8331,,registrar@wisecounty.org,276-328-7111,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,WYTHE COUNTY,Elections Office,Wythe County Registrar's Office,245 S 4th St ,Ste 101,Wytheville,VA,24382,276-223-6038,,govote@wytheco.org,276-223-6039,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,YORK COUNTY,Elections Office,York County - Washington Square,5322 George Washington Mem Hwy,,Yorktown,VA,23692,757-890-3440,http://www.yorkcounty.gov/voting,registrar@yorkcounty.gov,757-890-3449,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
