longitude,latitude,entrytype,location_type,location_name,address_1,address_2,zip,display_note,schedule_type,open_date,open_time,close_date,close_time
-77.00866358,38.83401814,electionday,Unknown,COVENANT BAPTIST CHURCH,3845 SOUTH CAPITOL STREET SW,,20032,Church Hall,hours,2020/11/03,07:00,2020/11/03,20:00
-76.98895375,38.86451231,electionday,Unknown,UNION TEMPLE BAPTIST CHURCH,1225 W STREET SE,,20020,Church Hall,hours,2020/11/03,07:00,2020/11/03,20:00
-77.03699966,38.91014509,electionday,Unknown,FOUNDRY UNITED CHURCH,1500 16TH STREET NW,,20036,Community Room,hours,2020/11/03,07:00,2020/11/03,20:00
-77.03505413,38.92515371,electionday,Unknown,COLUMBIA HEIGHTS COMMUNITY CENTER,1480 GIRARD STREET NW,,20009,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.02630448,38.91669566,electionday,Unknown,PRINCE HALL CENTER (MASONIC TEMPLE),1000 U STREET NW,,20001,Ballroom,hours,2020/11/03,07:00,2020/11/03,20:00
-77.06862924,38.91540306,electionday,Unknown,HARDY MIDDLE SCHOOL,1819 35TH STREET NW,,20007,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.02095694,38.89794766,electionday,Unknown,SUPER VOTE CENTER - CAPITOL ONE SPORTS ARENA,601 F STREET NW,,20004,Concourse Area,hours,2020/11/03,07:00,2020/11/03,20:00
-77.05382053,38.92263154,electionday,Unknown,SUPER VOTE CENTER - OMNI SHOREHAM HOTEL,2500 CALVERT STREET NW,,20008,Ballroom,hours,2020/11/03,07:00,2020/11/03,20:00
-77.06440727,38.94412829,electionday,Unknown,SUPER VOTE CENTER - UNIVERSITY OF THE DISTRICT OF COLUMBIA,4200 CONNECTICUT AVENUE NW,,20008,TBD,hours,2020/11/03,07:00,2020/11/03,20:00
-77.01928702,38.96659971,electionday,Unknown,IDA B. WELLS MIDDLE SCHOOL,405 SHERIDAN STREET NW,,20011,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.02787832,38.95882503,electionday,Unknown,EMERY HEIGHTS COMMUNITY CENTER,5801 GEORGIA AVENUE NW,,20011,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.99279239,38.93811215,electionday,Unknown,TURKEY THICKET RECREATION CENTER,1100 MICHIGAN AVENUE NE,,20017,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.99765255,38.90872414,electionday,Unknown,SUPER VOTE CENTER - DOCK 5 @ UNION MARKET,1309 5TH STREET NE,,20002,Event Space,hours,2020/11/03,07:00,2020/11/03,20:00
-77.0127577,38.87509089,electionday,Unknown,KING GREENLEAF RECREATION CENTER,201 N STREET SW,,20024,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.99316943,38.89860236,electionday,Unknown,SHERWOOD RECREATION CENTER,640 10TH STREET NE,,20002,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.93215784,38.90845242,electionday,Unknown,DEANWOOD RECREATION CENTER,1350 49TH STREET NE,,20019,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.94822142,38.88889619,electionday,Unknown,BENNING STODDERT RECREATION CENTER,100 STODDERT PLACE SE,,20019,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.98614881,38.8449866,electionday,Unknown,MALCOLM X OPPORTUNITY CENTER,1351 ALABAMA AVENUE SE,,20032,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.99516571,38.83235134,electionday,Unknown,FEREBEE-HOPE RECREATION CENTER,3999 8TH STREET SE,,20032,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.00852904,38.87236722,electionday,Unknown,SUPER VOTE CENTER - WASHINGTON NATIONALS PARK,1500 SOUTH CAPITOL STREET SE,,20003,Concourse Area,hours,2020/11/03,07:00,2020/11/03,20:00
-77.03121664,38.97025513,electionday,Unknown,FORT STENVENS RECREATION CENTER,"1327 Van Buren Street, NW",,20012,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.03117037,38.96042224,electionday,Unknown,BRIGHTWOOD EDUCATION CAMPUS,"1300 Nicholson Street, NW",,20011,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.013173,38.90757768,electionday,Unknown,DUNBAR SENIOR HIGH SCHOOL,"101 N Street, NW",,20001,Armory,hours,2020/11/03,07:00,2020/11/03,20:00
-76.91979692,38.89601394,electionday,Unknown,DREW ELEMENTARY SCHOOL,"5600 Eads Street, NE",,20019,Multi-Purpose Room,hours,2020/11/03,07:00,2020/11/03,20:00
-76.96333898,38.88094897,electionday,Unknown,THERAPEUTIC RECREATION CENTER,"3030 G Street, SE",,20019,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.98026095,38.84768147,electionday,Unknown,TURNER ELEMENTARY SCHOOL,"3264 Stanton Road, SE",,20020,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-76.99106964,38.8468056,electionday,Unknown,SUPER VOTE CENTER! Entertainment and Sports Arena,"1100 Oak Drive, SE",,20032,Concourse Area,hours,2020/11/03,07:00,2020/11/03,20:00
