state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,source_data,email,fax
GA,ROCKDALE,Board of Registrars,Elections Office,1261 COMMERCIAL DR. SW,SUITE B,CONYERS,GA,30094,(770) 278-7333,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,absentee@rockdalecountyga.gov,(770) 785-6932
GA,SCHLEY,Board of Registrars,Elections Office,47 N. PECAN ST.,,ELLAVILLE,GA,31806,(229) 937-2689,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,registrars_schley@yahoo.com,(229) 937-5588
GA,SCREVEN,Board of Registrars,Elections Office,216 MIMS ROAD,RM 114,SYLVANIA,GA,30467,(912) 564-2153,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,dorothyhglisson@yahoo.com,(912) 564-5617
GA,SEMINOLE,Board of Registrars,Elections Office,200 SOUTH KNOX AVENUE,,DONALSONVILLE,GA,39845,(229) 524-5256,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,seminoleprobate@gmail.com,(229) 524-8644
GA,SPALDING,Board of Registrars,Elections Office,825 MEMORIAL DR,,GRIFFIN,GA,30223,(678) 588-3530,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,,(770) 467-4278
GA,STEPHENS,Board of Registrars,Elections Office,12 W. TUGALO ST,,TOCCOA,GA,30577,(706) 886-8954,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,egober@stephenscountyga.com,(706) 886-2185
GA,STEWART,Board of Registrars,Elections Office,1764 BROAD STREET,,LUMPKIN,GA,31815,(229) 838-6220,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,ahudson@stewartcountyga.gov,(229) 838-4489
GA,SUMTER,Board of Registrars,Elections Office,500 WEST LAMAR STREET,,,GA,31709,(229) 928-4500,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,rhoward@sumtercountyga.us,(229) 928-4589
GA,TALBOT,Board of Registrars,Elections Office,141 N JEFFERSON AVENUE,,TALBOTTON,GA,31827,(706) 665-8270,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections-registration@talbotcountyga.org,(706) 665-2152
GA,TALIAFERRO,Board of Registrars,Elections Office,113 MONUMENT STREET,,CRAWFORDVILLE,GA,30631,(706) 456-3563,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,registrars131@yahoo.com,(706) 456-2904
GA,TATTNALL,Board of Registrars,Elections Office,114 W BRAZELL ST.,,REIDSVILLE,GA,30453,(912) 557-6417,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tattnall_elections_24@yahoo.com,(912) 557-3005
GA,TAYLOR,Board of Registrars,Elections Office,1B IVY ST,,BUTLER,GA,31006,(478) 862-3997,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,votetaylorga@gmail.com,(478) 862-3992
GA,TELFAIR,Board of Registrars,Elections Office,91 TELFAIR AVE ANNEX,BLDG 3,MCRAE HELENA,GA,31055,(229) 868-2023,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,telfair.registrar@hotmail.com,(229) 868-2266
GA,TERRELL,Board of Registrars,Elections Office,955 FORRESTER DR. SE,,DAWSON,GA,39842,(229) 995-5066,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,carolyn03@windstream.net,(229) 995-6537
GA,THOMAS,Board of Registrars,Elections Office,1402 E JACKSON STREET,,THOMASVILLE,GA,31792,(229) 225-4101,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,frank.scoggins@thomascountyga.gov,(229) 225-3133
GA,TIFT,Board of Registrars,Elections Office,222 CHESNUTT AVE,BUILDING B,TIFTON,GA,31794,(229) 386-7915,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,shekia.holley@tiftcounty.org,(229) 386-7996
GA,TOOMBS,Board of Registrars,Elections Office,125 W LINCOLN AVE,,LYONS,GA,30436,(912) 526-8226,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,cachenbach.toombs.elections@gmail.com,(912) 526-9420
GA,TOWNS,Board of Registrars,Elections Office,67 LAKEVIEW CIRCLE,SUITE A,HIAWSSEE,GA,30546,(706) 896-4353,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tcelections@townscountyga.com,(706) 896-2689
GA,TREUTLEN,Board of Registrars,Elections Office,650 SECOND STREET,SUITE 104,SOPERTON,GA,30457,(912) 529-3098,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,keri.hedgecock@treutlengov.us,(912) 529-3262
GA,TROUP,Board of Registrars,Elections Office,100 RIDLEY AVE,,LAGRANGE,GA,30240,(706) 883-1745,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@troupcountyga.gov,(706) 883-1692
GA,TURNER,Board of Registrars,Elections Office,1807 US HIGHWAY 41 NORTH,,SYCAMORE,GA,31790,(229) 567-2909,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,jwinter@turnercountygeorgia.com,(229) 567-9624
GA,TWIGGS,Board of Registrars,Elections Office,425 RAILROAD STREET NORT,,JEFFERSONVILLE,GA,31044,(478) 945-3639,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,lbond@twiggscounty.us,(478) 945-3477
GA,UNION,Board of Registrars,Elections Office,65 COURTHOUSE ST,STE 9,BLAIRSVILLE,GA,30512,(706) 439-6016,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,ucregistrar@uniongov.com,(706) 439-6015
GA,UPSON,Board of Registrars,Elections Office,305 S. HIGHTOWER ST.,SUITE 130,THOMASTON,GA,30286,(706) 647-6259,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,kking@upsoncountyga.org,(706) 646-3168
GA,WALKER,Board of Registrars,Elections Office,103 S DUKE STREET 110,,LAFAYETTE,GA,30728,,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@walkerga.us,(706) 639-3346
GA,WALTON,Board of Registrars,Elections Office,1110 E SPRING ST,SUITE 100,MONROE,GA,30655,(770) 267-1337,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@co.walton.ga.us,(770) 267-1408
GA,WARE,Board of Registrars,Elections Office,408 TEBEAU ST,,WAYCROSS,GA,31501,(912) 287-4363,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,cnelson@warecounty.com,(912) 287-4364
GA,WARREN,Board of Registrars,Elections Office,48 WARREN ST,,WARRENTON,GA,30828,(706) 465-1993,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voting@warrencountyga.gov,(706) 465-2576
GA,WASHINGTON,Board of Registrars,Elections Office,132 W. HAYNES STREET,ROOM 108,SANDERSVILLE,GA,31082,,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,clhagans@washingtoncountyga.gov,(478) 640-9961
GA,WAYNE,Board of Registrars,Elections Office,174 N BRUNSWICK ST,,JESUP,GA,31546,(912) 427-5950,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,snash@waynecountyga.us,(912) 588-0184
GA,WEBSTER,Board of Registrars,Elections Office,6622 CASS STREET,,PRESTON,GA,31824,(229) 828-5775,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,websterfinance@windstream.net,(229) 828-2105
GA,WHEELER,Board of Registrars,Elections Office,16W FOREST AVE,SUITE 101,ALAMO,GA,30411,(912) 568-0095,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,wcregistrars@windstream.net,(912) 568-0097
GA,WHITE,Board of Registrars,Elections Office,1241 HELEN HWY,SUITE 210-A,CLEVELAND,GA,30528,(706) 865-7812,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,lmanning@whitecounty.net,(706) 219-1511
GA,WHITFIELD,Board of Registrars,Elections Office,205 NORTH SELVIDGE STREET,SUITE K,DALTON,GA,30720,(706) 278-7183,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,mhammontree@whitfieldcountyga.com,(706) 226-0792
GA,WILCOX,Board of Registrars,Elections Office,377 COLLEGE STREET,,ABBEVILLE,GA,31001,(229) 467-2111,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,wilcox2115@windstream.net,(229) 467-2115
GA,WILKES,Board of Registrars,Elections Office,23 COURT STREET,SUITE 113,WASHINGTON,GA,30673,(706) 678-1850,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,wilkescovoter@wilkescountyga.org,(706) 678-3458
GA,WILKINSON,Board of Registrars,Elections Office,100 BACON STREET,ROOM 133,IRWINTON,GA,31042,(478) 946-2188,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@wilkinsoncounty.net,(478) 946-4388
GA,WORTH,Board of Registrars,Elections Office,201 N MAIN ST,ROOM 10,SYLVESTER,GA,31791,(229) 776-8208,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,supervisor@worthelections.com,(229) 776-8258
