state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,source_data,email,fax,hours,notes
Pennsylvania,Warren,County Election Office,Elections Office,204 4th Ave.,,Warren,PA,16365,(814) 728-3406,https://warrencopa.com/,https://warrencopa.com/elections-voter-registration/,lzuck@warren-county.net,,"Monday - Friday	8am-4:30pm",
Pennsylvania,Washington,County Election Office,Elections Office,100 W. Beau St.,Suite 206,Washington,PA,15301,(724) 228-6750,www.co.washington.pa.us,http://www.co.washington.pa.us/129/Elections,washcoelections@co.washington.pa.us,,"Monday - Friday	9am-4:30pm",
Pennsylvania,Wayne ,County Election Office,Elections Office,925 Court Street,,Honesdale,PA,18431,"570-253-5970, ext. 4003",http://waynecountypa.gov/,http://www.waynecountypa.gov/197/Bureau-Of-Elections,VBotjer@waynecountypa.gov,,M-F 8:30am - 4:30pm,
Pennsylvania,Westmoreland,County Election Office,Elections Office,2 N Main Street Ste 109,,Greensburg,PA,15601,(724) 830-3150,https://www.co.westmoreland.pa.us/,https://www.co.westmoreland.pa.us/1526/Absentee-and-Mail-In-Ballots,,,,
Pennsylvania,Wyoming,County Election Office,Elections Office,1 Courthouse Square,,Tunkhannock,PA,18657,(570) 996-2226,http://www.wycopa.org/Pages/default.aspx,http://www.wycopa.org/Offices/ElectVoter/Pages/default.aspx,fkellett@wycopa.org,,"Monday - Friday	8:30am - 4:00pm",
Pennsylvania,York,County Election Office,Elections Office,28 E Market St.,,York,PA,17402,(717) 771-9604,https://www.votespa.com/Pages/default.aspx,https://yorkcountypa.gov/voting-elections/polling-places/19-about-york-county.html,SFUlrich@YorkCountyPA.gov,,Office M-F: 8am-4pm; Drop Box:; 10/24: 10am-2pm; 11/1: 1pm-4pm; 11/3: 7am-8pm,
Pennsylvania,Chester County,Avon Grove Library,Library,117 Roshill Ave,,West Grove,PA,19390,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Chester County Library,Library,450 Exton Square Parkway,,Exton,PA,19341,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Coatesville Area Public Library,Library,501 Lincoln Hwy E,,Coatesville,PA,19320,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Downingtown Library,Library,122 Wallace Ave,,Downingtown,PA,19335,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Easttown Library and Information Center,Library,720 First Ave,,Berwyn,PA,19312,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Honey Brook Community Library,Library,687 Compass Rd,,Honey Brook,PA,19344,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Kennett Library,Library,216 State St,,Kennett Square,PA,19348,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Parkesburg Free Library,Library,105 West St,,Parkesburg,PA,19365,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Phoenixville Public Library,Library,183 2nd Ave,,Phoenixsville,PA,19460,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Spring City Free Library,Library,245 Broad St,,Spring City,PA,19475,,,,,,Monday-Friday:9:00AM-7:00PM;Saturday-Sunday:10:00AM-2:00PM,Drop Box Daily beginning October 13
Pennsylvania,Chester County,Henrietta Hankin Branch Library,Library,215 Windgate Dr,,Chester Springs,PA,19425,,,,,,"Monday, Wednesday, Friday: 9:30AM-5PM; Tuesday, Thursday: 9:30AM-8PM; Saturday: 9AM-1PM",Satellite Election Office
Pennsylvania,Chester County,Oxford Public Library,Library,48 S 2nd St,,Oxford,PA,19363,,,,,,"Monday, Wednesday: 10AM-5PM; Tuesday, Thursday: 1PM-8PM; Friday: 10AM-2PM; Saturday: 9AM-1PM",Satellite Election Office
Pennsylvania,Monroe County,Western Pocono Public Library,Library,131 Pilgrim Way,,Broadheadsville,PA,18322,,,,,,Check library hours,Drop Box
Pennsylvania,Monroe County,Pocono Mountain Public Library,Library,5500 Municipal Drive,,Tobyhanna,PA,18466,,,,,,Check library hours,Drop Box
Pennsylvania,Monroe County,Eastern Monroe Public Library,Library,1002 N 9th Street,,Stroudsburg,PA,18360,,,,,,Check library hours,Drop Box
Pennsylvania,Monroe County,Clymer Library,Library,115 Firehouse Lane,,Pocono Pines,PA,18350,,,,,,Check library hours,Drop Box
Pennsylvania,Berks County,Berks Agricultural Center,Park ,1238 County Welfare Rd,,Leesport,PA,19533,,,,,,Monday-Friday: 8AM-5PM; 11/3 - 8AM-8PM,Monday-Friday beginning October 26
Pennsylvania,Delaware County,Subaru Park - Concourse,Park ,1 Stadium Way,,Chester,PA,19103,,,,,,10/16: 9AM-6PM; 10/17: 10AM-6PM; 10/18: 10AM-6PM,Satellite Election Office
Pennsylvania,Allegheny County,CCAC South - West Mifflin,School,1750 Clairton Rd,,West Mifflin,PA,15122,,,,,,"Oct 17, 18, 24, 25 Saturday: 9AM-5PM, Sunday: 11AM-7PM",Drop Box;Satellite Election Office
Pennsylvania,Allegheny County,CCAC Allegheny Campus - North Side,School,808 Ridge Ave,,Pittsburgh,PA,15212,,,,,,"Oct 24, 25 Saturday: 9AM-5PM, Sunday: 11AM-7PM",Drop Box;Satellite Election Office
Pennsylvania,Centre County,HUB - Robeson Center,School,100 Pollock Rd,,University Park,PA,16802,,,,,,continuously,Drop Box Daily beginning October 19
Pennsylvania,Philadelphia County,Tilden Middle School,School,6601 Elmwood Ave.,,Philadelphia,PA,19142,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Philadelphia County,Overbrook Elementary School,School,2032 N 62nd St,,Philadelphia,PA,19151,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Philadelphia County,J. De Burgos Elementary School,School,401 W Lehigh Ave,,Philadelphia,PA,19133,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Philadelphia County,Creative and Performing Arts,School,901 S Broad St,,Philadelphia,PA,19147,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Philadelphia County,Anna B. Day Elementary School,School,6324 Crittenden St,,Philadelphia,PA,19138,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Philadelphia County,George Washington High School,School,10175 Bustleton Ave,,Philadelphia,PA,19116,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Philadelphia County,Roxborough High School,School,6498 Ridge Ave,,Philadelphia,PA,19128,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Philadelphia County,Liacouras Center @ Temple University,School,1776 N Broad St,,Philadelphia,PA,19121,,,,,,Monday-Thursday: 11:30AM-6:30PM ; Friday-Sunday: 9:30AM-4:30PM,Satellite Election Office
Pennsylvania,Lycoming County,Lycoming County,Unknown,33 W 3rd St.,,Williamsport,PA,17701,,,,,,Monday-Friday: 8:30AM - 5:00PM,County Election Office
Pennsylvania,Mercer County,Mercer County,Unknown,5 Courthouse,,Mercer,PA,16137,,,,,,Monday-Friday: 8:30AM - 4:30PM,County Election Office
Pennsylvania,Mifflin,Mifflin,Unknown,20 N. Wayne St.,,Lewistown,PA,17044,,http://www.co.mifflin.pa.us/Pages/Default.aspx,voterregistration@mifflinco.org,,,Monday-Friday: 8:00AM - 4:00PM,
Pennsylvania,Monroe ,Monroe Co. Admin. Offices,Unknown,One Quaker Plaza,Rm. 105,Stroudsburg,PA,18360,(570) 517-3165,www.monroecountypa.gov/Pages/Home.aspx,http://www.monroecountypa.gov/Dept/Voter/Pages/AbsenteeFAQs.aspx,smay-silfee@monroecountypa.gov,,Monday-Friday: 8:30AM - 4:30PM,
